UTC,Significant Wave Height,Peak Wave Period,Peak Wave Direction,Significant Sea Height,Peak Sea Period,Peak Sea Direction,Significant Swell Height,Peak Swell Period,Peak Swell Direction,
2019-06-14 15:00:00,0.478763344734769,10.1681471197465,148.172878704836,0.303020878664892,6.90604732805397,159.454554595342,0.370665195769417,10.4881439281451,147.802979380435,
2019-06-14 16:00:00,0.474595236481485,10.0716660397452,148.197319173081,0.305404087996978,6.90557380996438,159.564194524997,0.363275352213235,10.4942494594487,147.343306823679,
2019-06-14 17:00:00,0.468065268773508,10.0227170705483,147.887690444413,0.304010091500955,6.81596380875019,159.710690840196,0.355897401082948,10.5072275207342,146.853807904626,
2019-06-14 18:00:00,0.459926133655648,9.99050261395024,147.290727998084,0.300772493768283,6.70565705189782,159.754187971201,0.347948207944575,10.511482295425,146.24529477731,
2019-06-14 19:00:00,0.452775499168716,9.92181117660399,146.74776757045,0.298364873325324,6.61641194509278,159.64361583716,0.340564318467222,10.4916549878791,145.623408029016,
2019-06-14 20:00:00,0.447185666045627,9.83362201740875,146.276139389438,0.296958682422872,6.52984749165061,159.513297005137,0.33435095461258,10.4707715061465,145.044482570296,
2019-06-14 21:00:00,0.442579928733318,9.67586289880122,145.899251819201,0.296222302579909,6.41573611233231,159.488292038221,0.328830261338347,10.4148668894168,144.459973862235,
2019-06-14 22:00:00,0.439161615961905,9.46888273379726,145.509105699437,0.295777534817098,6.2750515237504,159.514577903897,0.324620662977254,10.3356851418475,143.808148584674,
2019-06-14 23:00:00,0.437268830271532,9.32914230541745,145.529576656986,0.295587998762107,6.12793803250275,159.49918538638,0.322229366934248,10.2301765393436,143.227728220375,
2019-06-15 00:00:00,0.435173512663772,9.19576982326476,145.529029997954,0.294894968954834,5.99080404923701,159.361499926382,0.320020223437916,10.1138226887405,142.613229146466,
2019-06-15 01:00:00,0.432832383516983,9.08949977490347,145.407864714077,0.293496837576163,5.86288534000767,159.113497161703,0.318124941734823,10.0031367613281,141.998673745902,
2019-06-15 02:00:00,0.42993840203478,8.99996912511248,145.140224813345,0.291501236049778,5.76468722689495,158.847511763153,0.316028572957687,9.90277114866175,141.217832384375,
2019-06-15 03:00:00,0.426808673088585,8.94412321640286,144.883607997492,0.289009409413032,5.7145723146278,158.708620329876,0.314068789748949,9.82791953005884,140.636421879599,
2019-06-15 04:00:00,0.424039689344541,8.91865231181988,144.556311307578,0.286512213830235,5.67425123160881,158.639716716056,0.31260263828943,9.77119837712414,140.121708617723,
2019-06-15 05:00:00,0.421261827953914,8.9111160205975,144.251222026309,0.284134527713304,5.64145055149582,158.608244040053,0.311013018782511,9.73284814806499,139.903399746571,
2019-06-15 06:00:00,0.418667725649914,8.91163763393294,143.97270495416,0.281790417522355,5.61381213767274,158.591078241549,0.309639831245026,9.68612140923102,139.739506217627,
2019-06-15 07:00:00,0.416022339935142,8.91285921611128,143.826013238872,0.279755509203016,5.59613528654683,158.546108887392,0.307914667392886,9.62942402228421,139.693879019222,
2019-06-15 08:00:00,0.413650488612137,8.91511870958091,143.705169038131,0.27850678737495,5.59878391865952,158.462889732234,0.305844235052982,9.59429950204484,139.618103262928,
2019-06-15 09:00:00,0.411464256759203,8.91735384685567,143.62669431522,0.278373120402677,5.63289490562598,158.332069855141,0.303003697052825,9.59055092738138,139.474951934253,
2019-06-15 10:00:00,0.409444895680585,8.92256679404874,143.597906412279,0.278779491833348,5.6871337348741,158.226348994262,0.299878504618162,9.6099246962485,139.302135250609,
