UTC,Significant Wave Height,Peak Wave Period,Peak Wave Direction,Significant Sea Height,Peak Sea Period,Peak Sea Direction,Significant Swell Height,Peak Swell Period,Peak Swell Direction,
2019-05-30 00:00:00,0.955888636063312,8.50969274578729,159.947901068286,0.541089267829122,6.69583598311421,170.723315329084,0.78800094466639,9.45226657624708,154.402516940738,
2019-05-30 01:00:00,1.02907934552168,9.15492211728065,156.338107826487,0.56666237160379,6.80497744239227,170.316855321454,0.859009927758521,9.82715921511884,153.304204893972,
2019-05-30 02:00:00,1.08854392145234,9.35747147510044,155.341189269155,0.602059941528964,6.92587799931199,169.952865450986,0.906891225967583,9.79978198037571,153.531758570365,
2019-05-30 03:00:00,1.12318479381748,9.27513379510324,155.424684410446,0.639333317254692,7.01143666165374,169.465352111433,0.923470081004748,9.52682905928542,154.43891521492,
2019-05-30 04:00:00,1.14910087054123,9.13843720754243,155.539086533021,0.669303966726565,7.06566323113243,168.089686998987,0.934058355137787,9.36073318979739,154.905611591893,
2019-05-30 05:00:00,1.19447384875283,9.13934428586917,155.220173948168,0.697893219606336,7.10893149776646,166.660370355795,0.969387863232204,9.36989335392821,154.69367676799,
2019-05-30 06:00:00,1.28032769400977,9.38096405050977,154.741440410279,0.728433944967199,7.14722507954504,165.509226653391,1.05291167334582,9.64997726426587,153.573736531181,
2019-05-30 07:00:00,1.36837624880203,9.56096422470868,154.129161237384,0.763654948605278,7.19516725962525,164.499848865489,1.13546672243452,9.79433958839072,152.955184193769,
2019-05-30 08:00:00,1.39952212223672,9.42378215316149,154.297633154258,0.797384257013899,7.23770634660927,163.794845055207,1.15014804146961,9.5790209020327,153.736331502545,
2019-05-30 09:00:00,1.37920087190412,9.19660797768082,154.722647290084,0.815366365563726,7.252513876662,163.872663680582,1.11237257021579,9.34596327375055,154.42639661339,
2019-05-30 10:00:00,1.33299258691206,8.99121235962703,155.143091860766,0.815522203233991,7.24457146259171,164.508776369866,1.05441584433983,9.13361082498007,155.161346244684,
2019-05-30 11:00:00,1.2777098648727,8.81420585929368,155.636092337267,0.80467372094256,7.22151715956682,165.383748025529,0.9924931745949,8.95882038077908,155.894400200818,
2019-05-30 12:00:00,1.23474308956776,8.65880061668487,156.016758499231,0.799128436724132,7.19772453351213,165.817282895652,0.941267357797017,8.82820916071114,156.529208324309,
2019-05-30 13:00:00,1.20136644696554,8.53296920242939,156.649871930725,0.787643208061782,7.17132055914049,166.515324577242,0.907138091300736,8.73499341063017,156.953267818694,
2019-05-30 14:00:00,1.1806266946894,8.45033499534262,157.311733422421,0.775847368072168,7.14396551008992,167.255349133249,0.889910250344785,8.68266884527648,157.080070142419,
2019-05-30 15:00:00,1.18310031308023,8.41324787153322,157.469807406826,0.77643205014643,7.1225178900688,167.561564656518,0.892681142578889,8.67079094854305,156.920684578848,
2019-05-30 16:00:00,1.21319669714994,8.44889129620996,156.965803875433,0.787699182518412,7.12135098300879,167.380533998715,0.922700506033974,8.72343950655101,156.433030220504,
2019-05-30 17:00:00,1.26039386797955,8.57035593895176,155.96842155846,0.798199935501865,7.1419126739916,167.074311438014,0.975433014309677,8.8535136840104,155.710436223512,
2019-05-30 18:00:00,1.30600348585947,8.72013357451792,155.549223943455,0.80370943179125,7.16142237370577,166.861373207746,1.02941549159068,8.98872673484835,155.083763218348,
2019-05-30 19:00:00,1.33247201303622,8.80850659036026,155.40809783193,0.801025591716864,7.17496423951045,166.797778063096,1.06481907709218,9.04747986781051,154.82338140569,
2019-05-30 20:00:00,1.33983461738825,8.84139576420304,155.435832841889,0.789994051265819,7.18849172608021,166.905642526718,1.08215812195655,9.05092660136698,154.810862931377,
2019-05-30 21:00:00,1.34369875015086,8.89350918147822,155.489839116026,0.776112350870382,7.1933098599626,167.164672565958,1.09689377333607,9.085655625995,154.755794201242,
2019-05-30 22:00:00,1.35263656840342,9.00148704389098,155.295279029417,0.767365493723919,7.2120806112383,166.739232610826,1.11390120083606,9.18222256702901,154.562999498812,
2019-05-30 23:00:00,1.3485363272187,9.08638344622842,155.15254178105,0.75107447409997,7.23763016123732,166.289921858914,1.12001667852936,9.25141206137122,154.464603916053,
2019-05-31 00:00:00,1.32503038496412,9.1045169692538,155.131545976662,0.731745092952132,7.25326805263128,165.992384567732,1.10465136582482,9.25101350379919,154.57713306749,
2019-05-31 01:00:00,1.28681188483473,9.10457617031352,155.115335457069,0.711220237801322,7.2614052250414,165.544036315704,1.07240412172545,9.23760010734754,154.768550322064,
2019-05-31 02:00:00,1.24840078770148,9.15752642007707,155.042032586518,0.688702135953049,7.26587429130121,165.06277761362,1.04124631796102,9.28715550804509,154.803797130101,
2019-05-31 03:00:00,1.23894036211027,9.34044665666181,154.847721098195,0.669971394469105,7.27151206455583,164.487647022453,1.04216675798984,9.48387041822203,154.335350168952,
2019-05-31 04:00:00,1.28115161011884,9.87346166748671,153.348182517962,0.659526400475914,7.27882620574792,164.17450168141,1.09835075234889,10.0133710028717,152.561794073953,
2019-05-31 05:00:00,1.38229443656568,10.3724000872451,151.67608747589,0.679222967180496,7.28070401522885,164.309364231762,1.20390783294027,10.4533169340639,150.959420381836,
2019-05-31 06:00:00,1.5076992730929,10.6155651912111,150.59885457235,0.729935812010241,7.25163647703601,163.827153867483,1.31922356271778,10.6641165360953,150.065453242655,
2019-05-31 07:00:00,1.62683002420728,10.8080450369023,149.617333136876,0.775667857272244,7.22715674546437,163.142671970658,1.43000535063928,10.841919815197,149.267638323711,
